id,number_of_reviews,review_scores_rating,review_scores_location
873736.00,36.00,4.47,4.83
639265.00,7.00,4.25,4.00
640575.00,1.00,5.00,5.00
640576.00,8.00,4.75,4.75
640577.00,18.00,4.76,4.76
87596.00,228.00,4.94,4.90
640765.00,51.00,4.78,4.66
873804.00,102.00,4.68,4.89
875693.00,16.00,4.81,4.94
87671.00,59.00,4.61,4.88
877602.00,82.00,4.87,4.88
640854.00,55.00,4.15,4.46
102918.00,19.00,4.84,4.83
647521.00,35.00,4.71,4.91
648073.00,227.00,4.98,4.93
880504.00,33.00,4.88,4.94
104447.00,20.00,4.75,4.85
104452.00,42.00,4.51,4.78
883446.00,278.00,4.90,4.86
648353.00,432.00,4.70,4.70
112698.00,69.00,4.77,4.68
648355.00,276.00,4.96,4.92
883700.00,104.00,4.90,4.91
884001.00,424.00,4.65,4.71
118560.00,318.00,4.88,4.88
652716.00,106.00,4.88,4.84
659331.00,141.00,4.61,4.42
888191.00,135.00,4.66,4.73
125968.00,27.00,4.65,4.77
660578.00,13.00,5.00,4.92
138781.00,164.00,4.52,4.58
660579.00,5.00,5.00,4.60
890857.00,270.00,4.80,4.81
152046.00,316.00,4.68,4.88
892718.00,442.00,4.64,4.71
663737.00,25.00,4.40,4.92
152645.00,183.00,4.54,4.71
663763.00,8.00,5.00,5.00
663786.00,37.00,4.59,4.97
896664.00,341.00,4.91,4.92
153304.00,120.00,4.65,4.78
904008.00,131.00,4.81,4.82
904468.00,129.00,4.93,4.93
667728.00,132.00,4.74,4.89
669834.00,56.00,4.30,4.55
153397.00,17.00,4.75,4.75
671346.00,22.00,4.91,4.82
905460.00,258.00,4.72,4.74
155360.00,58.00,4.89,4.89
908283.00,65.00,4.94,4.91
673187.00,63.00,4.19,4.46
673201.00,29.00,4.57,4.75
1022200.00,1.00,5.00,5.00
673202.00,31.00,4.68,4.77
673327.00,18.00,4.94,4.88
674312.00,10.00,4.90,4.80
917413.00,51.00,4.86,4.90
1027418.00,93.00,4.06,4.62
918451.00,82.00,4.94,4.92
674514.00,14.00,4.86,4.86
675016.00,33.00,4.91,4.97
1030150.00,53.00,4.47,4.51
675034.00,9.00,4.89,4.78
918649.00,177.00,4.82,4.71
1030151.00,58.00,4.48,4.61
923297.00,138.00,4.88,4.93
677268.00,64.00,4.79,4.84
1030161.00,37.00,4.24,4.25
707552.00,48.00,4.98,4.67
923523.00,169.00,4.63,4.71
927959.00,195.00,4.82,4.87
1033146.00,69.00,4.86,4.78
928064.00,110.00,4.90,4.89
707984.00,70.00,4.90,4.87
1036404.00,124.00,4.89,4.93
710488.00,170.00,4.85,4.78
1038689.00,201.00,4.84,4.92
713986.00,75.00,4.95,4.97
929435.00,251.00,4.70,4.92
1042446.00,32.00,4.72,4.88
933682.00,9.00,4.33,4.67
936355.00,130.00,4.88,4.97
936558.00,198.00,4.73,4.81
715447.00,2.00,4.50,4.00
716964.00,140.00,4.55,4.87
1046693.00,16.00,4.29,4.50
717081.00,20.00,4.68,4.95
722158.00,206.00,4.56,4.81
729224.00,27.00,5.00,4.88
937990.00,28.00,4.54,4.68
940185.00,40.00,4.80,4.80
941361.00,531.00,4.97,4.87
1046703.00,298.00,4.74,4.77
942157.00,60.00,4.59,4.69
942895.00,323.00,4.89,4.91
729902.00,264.00,4.81,4.79
1051136.00,286.00,4.73,4.74
731420.00,396.00,4.73,4.79
748756.00,85.00,4.93,4.85
944736.00,1.00,5.00,5.00
951725.00,71.00,4.72,4.78
951837.00,77.00,4.66,4.77
1051428.00,151.00,4.45,4.77
951880.00,113.00,4.68,4.72
953390.00,66.00,4.89,4.95
960536.00,120.00,4.23,4.37
749883.00,132.00,4.95,4.89
749884.00,89.00,4.94,4.76
751118.00,150.00,4.73,4.82
755553.00,2.00,5.00,4.00
760735.00,200.00,4.80,4.84
964857.00,29.00,4.79,4.86
966400.00,6.00,4.83,5.00
769848.00,46.00,4.96,4.91
1053978.00,24.00,4.75,4.71
775128.00,28.00,4.85,4.89
780183.00,5.00,5.00,5.00
784020.00,58.00,4.96,4.87
975668.00,202.00,4.65,4.65
1057070.00,89.00,4.88,4.97
978111.00,125.00,4.81,4.81
983895.00,35.00,4.88,4.71
984845.00,52.00,4.77,4.89
989311.00,178.00,4.71,4.78
790040.00,55.00,4.41,4.48
798414.00,336.00,4.87,4.84
801736.00,201.00,4.96,4.92
990804.00,420.00,4.66,4.74
1062698.00,266.00,4.78,4.86
1001265.00,144.00,4.26,4.86
804274.00,137.00,4.82,4.96
1066271.00,159.00,4.94,4.79
804355.00,31.00,4.84,5.00
1012360.00,45.00,4.82,4.87
1067305.00,142.00,4.54,4.48
1014157.00,72.00,4.89,4.37
1268195.00,18.00,4.88,5.00
1069316.00,40.00,4.90,4.83
1271749.00,255.00,4.78,4.63
1018935.00,28.00,4.46,4.89
1069333.00,132.00,4.58,4.87
1069531.00,242.00,4.65,4.89
1019051.00,48.00,4.85,4.98
1019465.00,59.00,4.81,4.73
1021219.00,261.00,4.81,4.91
1285083.00,456.00,4.84,4.85
1291481.00,19.00,5.00,4.89
1294662.00,28.00,4.57,4.75
1074549.00,77.00,4.74,4.83
1296881.00,29.00,4.64,4.79
1022193.00,256.00,4.81,4.78
1074685.00,2.00,5.00,5.00
1079645.00,29.00,4.90,4.93
1584049.00,48.00,4.91,4.79
1301638.00,441.00,4.99,4.84
1084023.00,261.00,4.79,4.93
1303637.00,200.00,4.67,4.90
1309377.00,51.00,4.96,4.76
1589144.00,100.00,4.88,4.86
1089389.00,85.00,4.75,4.95
1589224.00,7.00,4.29,4.29
1309451.00,92.00,4.67,4.78
1089964.00,89.00,4.80,4.93
1310350.00,607.00,4.70,4.81
1589238.00,364.00,4.68,4.82
1593094.00,20.00,4.85,4.90
1593862.00,336.00,4.86,4.89
1093218.00,49.00,4.96,4.94
1594667.00,134.00,4.99,4.99
1317442.00,26.00,4.67,4.84
1320963.00,274.00,4.74,4.77
1094601.00,203.00,4.80,4.95
1597409.00,336.00,4.82,4.88
1094823.00,184.00,4.74,4.82
1600553.00,19.00,4.83,4.94
1332309.00,149.00,4.87,4.90
1336834.00,244.00,4.96,4.88
1095174.00,168.00,4.86,4.45
1339775.00,21.00,4.71,4.90
1606631.00,390.00,4.86,4.89
1609926.00,119.00,4.82,4.72
1613843.00,454.00,4.84,4.93
1095181.00,38.00,4.76,4.81
1614256.00,87.00,5.00,4.94
1339958.00,9.00,5.00,4.89
1103829.00,23.00,4.57,4.55
1339976.00,26.00,4.96,4.84
1614421.00,281.00,4.79,4.84
1104128.00,6.00,5.00,5.00
1107031.00,12.00,4.92,4.83
1615734.00,61.00,4.89,4.90
1632917.00,2.00,5.00,5.00
1633034.00,124.00,4.86,4.85
1340313.00,96.00,4.89,4.82
1340799.00,9.00,4.43,4.86
1113321.00,106.00,4.77,4.70
1346576.00,22.00,4.40,4.68
1349377.00,33.00,4.67,4.73
1349515.00,42.00,4.64,4.78
1633101.00,67.00,4.81,4.86
1633878.00,45.00,4.96,4.98
1114833.00,28.00,4.27,4.37
1633906.00,15.00,4.80,4.87
1637688.00,17.00,4.94,5.00
1639966.00,9.00,4.88,4.88
1349619.00,9.00,4.56,4.88
1350037.00,134.00,4.67,4.81
1364383.00,188.00,4.70,4.80
1121863.00,21.00,4.71,4.86
1365363.00,13.00,5.00,4.92
1641833.00,73.00,4.20,4.77
1646411.00,56.00,4.68,4.88
1650354.00,116.00,4.86,4.81
1127254.00,227.00,4.91,4.94
1656017.00,318.00,4.85,4.91
1656201.00,84.00,4.99,4.96
1656273.00,289.00,4.84,4.89
1365410.00,12.00,5.00,5.00
1365551.00,6.00,4.83,4.83
1365599.00,26.00,4.85,4.83
1127894.00,324.00,4.83,4.89
1365647.00,9.00,4.89,4.89
1667744.00,38.00,5.00,5.00
1129061.00,150.00,4.84,4.92
1673301.00,90.00,4.89,4.93
1678564.00,146.00,4.95,4.99
1371163.00,10.00,4.60,4.80
1132160.00,111.00,4.97,4.94
1371205.00,22.00,4.91,5.00
1371229.00,11.00,4.82,5.00
1371261.00,3.00,5.00,5.00
1688964.00,16.00,5.00,5.00
1697116.00,383.00,4.91,4.71
1700115.00,169.00,4.84,4.92
1143870.00,121.00,4.95,4.92
1371646.00,23.00,4.91,4.96
1371681.00,9.00,4.89,4.89
1145103.00,124.00,4.76,4.89
1371734.00,16.00,4.94,4.88
1704566.00,69.00,4.91,4.85
1713527.00,28.00,4.93,4.75
1145716.00,250.00,4.78,4.83
1713758.00,4.00,3.50,4.00
1371831.00,23.00,4.73,4.82
1148346.00,88.00,4.85,4.93
1374162.00,306.00,4.89,4.89
1378127.00,58.00,4.79,4.93
1381735.00,227.00,4.91,4.85
1720444.00,144.00,4.80,4.91
1725643.00,43.00,4.77,4.74
1154385.00,161.00,4.27,4.78
1726142.00,149.00,4.61,4.64
1728525.00,121.00,4.98,4.93
1733842.00,204.00,4.82,4.71
1382579.00,16.00,5.00,4.85
1155991.00,139.00,4.86,4.95
1394005.00,27.00,4.70,4.88
1736110.00,323.00,4.98,4.91
1746864.00,16.00,4.94,4.93
1750621.00,72.00,4.71,4.86
1398125.00,109.00,4.90,4.87
1159617.00,107.00,4.80,4.80
1404169.00,73.00,4.93,4.92
1412186.00,152.00,4.87,4.95
1421014.00,24.00,4.50,4.92
1422734.00,27.00,4.93,4.93
1427711.00,130.00,4.70,4.67
1751758.00,108.00,4.88,4.96
1752128.00,343.00,4.75,4.94
1756052.00,190.00,4.68,4.95
1159810.00,268.00,4.58,4.60
1759620.00,232.00,4.50,4.89
1764389.00,7.00,5.00,5.00
1767400.00,264.00,4.88,4.92
1431835.00,68.00,4.84,4.90
1436904.00,39.00,4.77,4.81
1454542.00,6.00,5.00,4.83
1460200.00,99.00,4.97,4.88
1466642.00,86.00,4.38,4.60
1471748.00,483.00,4.93,4.92
1471990.00,383.00,4.90,4.86
1477852.00,184.00,4.97,4.92
1479829.00,26.00,4.73,4.65
1479943.00,115.00,4.90,4.86
1483081.00,94.00,4.83,4.96
1488260.00,138.00,4.84,4.92
1489040.00,91.00,4.66,4.90
1495760.00,96.00,4.67,4.88
1502448.00,195.00,4.79,4.87
1507579.00,282.00,4.80,4.89
1509352.00,41.00,4.58,4.80
1511025.00,27.00,4.50,4.73
1521554.00,78.00,4.64,4.82
1530897.00,252.00,4.83,4.76
1578534.00,47.00,4.94,4.79
1578652.00,150.00,4.84,4.86
1163863.00,26.00,5.00,4.96
1578736.00,43.00,5.00,4.95
1771935.00,20.00,4.79,4.95
1170189.00,12.00,4.92,4.83
1174976.00,200.00,4.72,4.90
1580775.00,271.00,4.94,4.87
1175508.00,101.00,4.95,4.94
1581386.00,227.00,4.80,4.82
1180632.00,235.00,4.91,4.94
1182591.00,35.00,4.91,5.00
1583137.00,162.00,4.84,4.87
1583407.00,240.00,4.82,4.81
1182612.00,66.00,4.92,4.97
1919610.00,30.00,4.48,4.76
1185854.00,89.00,4.77,4.90
1920293.00,181.00,4.96,4.91
1188024.00,102.00,4.52,4.85
1928093.00,99.00,4.80,4.79
1194685.00,299.00,4.82,4.83
1929001.00,21.00,4.50,4.58
1930720.00,91.00,4.89,4.88
1197879.00,45.00,4.40,4.88
1931754.00,125.00,4.84,4.94
1206189.00,268.00,4.92,4.91
1936548.00,39.00,4.97,4.97
1206363.00,412.00,4.95,4.72
1941392.00,170.00,4.79,4.75
1943232.00,162.00,4.79,4.93
1783189.00,160.00,4.80,4.97
1783243.00,241.00,4.98,4.97
1793744.00,70.00,4.82,4.94
1796816.00,438.00,4.92,4.92
1798328.00,114.00,4.75,4.88
1948020.00,175.00,4.52,4.75
1949034.00,45.00,4.96,4.96
1214155.00,199.00,4.78,4.89
1959997.00,375.00,4.28,4.47
1960593.00,190.00,4.39,4.60
1802856.00,173.00,4.67,4.90
1219697.00,70.00,4.80,4.93
1229095.00,10.00,4.89,5.00
1232648.00,139.00,4.67,4.80
1808149.00,318.00,4.97,4.95
1815036.00,12.00,4.92,4.92
1815550.00,120.00,4.80,4.75
1966611.00,19.00,4.84,4.74
1969032.00,88.00,4.79,4.89
1972409.00,133.00,4.87,4.98
1232732.00,117.00,4.56,4.69
1987551.00,3.00,5.00,4.67
1989722.00,80.00,4.31,4.51
1995127.00,72.00,4.78,4.90
1822418.00,79.00,4.95,4.90
1232877.00,76.00,4.68,4.55
1826381.00,99.00,4.76,4.92
2008304.00,43.00,4.95,4.86
1233027.00,128.00,4.62,4.70
2012496.00,22.00,5.00,4.86
1832753.00,114.00,4.68,4.65
1836706.00,31.00,4.97,4.87
2012600.00,405.00,4.97,4.85
1233067.00,107.00,4.56,4.77
2014800.00,352.00,4.65,4.85
1837728.00,54.00,4.88,4.98
1233353.00,49.00,4.85,4.90
1843839.00,332.00,4.89,4.86
2023726.00,523.00,4.89,4.84
1233787.00,158.00,4.72,4.78
2027944.00,29.00,5.00,5.00
1844208.00,58.00,4.81,4.93
2034744.00,26.00,4.81,4.88
1244222.00,16.00,4.94,4.81
2036032.00,6.00,5.00,4.80
1851488.00,103.00,4.89,4.88
1256665.00,378.00,4.69,4.67
1859789.00,168.00,4.89,4.80
1861034.00,432.00,4.97,4.85
1873529.00,204.00,4.85,4.75
2038133.00,93.00,4.81,4.78
2038271.00,3.00,4.67,4.67
2038309.00,17.00,4.87,4.93
1258741.00,70.00,4.68,4.90
2042570.00,3.00,4.67,4.67
2045218.00,99.00,4.70,4.89
1882019.00,5.00,5.00,5.00
1263406.00,146.00,4.91,4.80
1892267.00,114.00,4.81,4.85
2056151.00,2.00,5.00,5.00
2243590.00,70.00,4.86,4.87
2056192.00,152.00,4.87,4.88
1893707.00,456.00,4.68,4.94
1897753.00,255.00,4.78,4.79
2248486.00,139.00,4.52,4.87
2710456.00,37.00,5.00,5.00
2711157.00,84.00,4.77,4.82
2062382.00,135.00,4.94,4.95
2079903.00,14.00,4.79,4.93
2250982.00,145.00,4.77,4.97
2088200.00,63.00,4.65,4.92
2712170.00,971.00,4.87,4.86
2257518.00,108.00,4.87,4.95
2721429.00,125.00,4.87,4.91
2091745.00,16.00,5.00,4.75
2123817.00,7.00,4.29,5.00
2128762.00,8.00,5.00,4.63
2263918.00,11.00,4.64,5.00
2130784.00,9.00,4.89,4.67
2721983.00,2.00,5.00,5.00
2134954.00,48.00,5.00,4.85
2277295.00,85.00,4.88,4.89
2135131.00,151.00,4.83,4.78
2136285.00,1.00,5.00,5.00
2726709.00,73.00,4.99,5.00
2737556.00,73.00,4.56,4.59
2739066.00,7.00,4.17,4.67
2740666.00,34.00,4.94,4.94
2279098.00,265.00,4.61,4.87
2746940.00,150.00,4.95,4.94
2752416.00,267.00,4.81,4.95
2758420.00,610.00,4.85,4.82
2136529.00,129.00,4.80,4.64
2138981.00,7.00,4.71,4.71
