id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,geometry
49635867,Primary Urban Center,Honolulu,21.27999,-157.8222,POINT (-157.8222 21.27999)
49636415,South Kohala,Hawaii,19.925577,-155.877792,POINT (-155.877792 19.925577)
49590121,Paia-Haiku,Maui,20.91877,-156.31989,POINT (-156.31989 20.91877)
49712644,Primary Urban Center,Honolulu,21.28409,-157.84001,POINT (-157.84001 21.28409)
49712650,Primary Urban Center,Honolulu,21.28356,-157.83866,POINT (-157.83866 21.28356)
49712890,East Honolulu,Honolulu,21.27776,-157.76197,POINT (-157.76197 21.27776)
49711878,Kapaa-Wailua,Kauai,22.07237,-159.31934,POINT (-159.31934 22.07237)
49712541,Kau,Hawaii,19.4282,-155.25751,POINT (-155.25751 19.4282)
49712543,Primary Urban Center,Honolulu,21.28579,-157.83955,POINT (-157.83955 21.28579)
49636669,Primary Urban Center,Honolulu,21.27357,-157.82122,POINT (-157.82122 21.27357)
49712552,Kau,Hawaii,19.42742,-155.25719,POINT (-155.25719 19.42742)
49712554,Kau,Hawaii,19.429,-155.25926,POINT (-155.25926 19.429)
49712558,Kau,Hawaii,19.42926,-155.25914,POINT (-155.25914 19.42926)
49713106,North Shore Kauai,Kauai,22.22065,-159.5461,POINT (-159.5461 22.22065)
49713535,North Shore Kauai,Kauai,22.22694,-159.47399,POINT (-159.47399 22.22694)
49714618,North Shore Kauai,Kauai,22.22696,-159.47367,POINT (-159.47367 22.22696)
49715069,Lahaina,Maui,20.94648,-156.69191,POINT (-156.69191 20.94648)
49638126,South Hilo,Hawaii,19.84778,-155.09401,POINT (-155.09401 19.84778)
49712561,Primary Urban Center,Honolulu,21.28358,-157.8385,POINT (-157.8385 21.28358)
49712562,Kau,Hawaii,19.4283,-155.25723,POINT (-155.25723 19.4283)
49712563,Primary Urban Center,Honolulu,21.28387,-157.83814,POINT (-157.83814 21.28387)
49638942,Lahaina,Maui,20.94636,-156.68906,POINT (-156.68906 20.94636)
49640072,Primary Urban Center,Honolulu,21.28003,-157.82638,POINT (-157.82638 21.28003)
49641282,North Kona,Hawaii,19.5946,-155.96866,POINT (-155.96866 19.5946)
49643509,North Kona,Hawaii,19.60594,-155.974869,POINT (-155.974869 19.60594)
49712566,Kau,Hawaii,19.42972,-155.25779,POINT (-155.25779 19.42972)
49712569,Primary Urban Center,Honolulu,21.28364,-157.83824,POINT (-157.83824 21.28364)
49712572,Primary Urban Center,Honolulu,21.28571,-157.83855,POINT (-157.83855 21.28571)
49715372,North Shore Kauai,Kauai,22.22446,-159.48299,POINT (-159.48299 22.22446)
49715946,Primary Urban Center,Honolulu,21.28815,-157.83318,POINT (-157.83318 21.28815)
49716263,North Kona,Hawaii,19.60619,-155.97575,POINT (-155.97575 19.60619)
49718975,Primary Urban Center,Honolulu,21.27917,-157.83026,POINT (-157.83026 21.27917)
49644571,Koolauloa,Honolulu,21.69954,-157.99365,POINT (-157.99365 21.69954)
49727117,North Kona,Hawaii,19.62517,-155.98692,POINT (-155.98692 19.62517)
49728261,Koloa-Poipu,Kauai,21.87446,-159.4425,POINT (-159.4425 21.87446)
49728322,North Kona,Hawaii,19.62621,-155.98519,POINT (-155.98519 19.62621)
49729361,Kihei-Makena,Maui,20.71825,-156.44379,POINT (-156.44379 20.71825)
49729944,Kihei-Makena,Maui,20.7242,-156.44578,POINT (-156.44578 20.7242)
49730104,Kihei-Makena,Maui,20.71002,-156.44401,POINT (-156.44401 20.71002)
49712574,Kau,Hawaii,19.42747,-155.25714,POINT (-155.25714 19.42747)
49712576,Kau,Hawaii,19.42961,-155.25943,POINT (-155.25943 19.42961)
49712578,Kau,Hawaii,19.4297,-155.25894,POINT (-155.25894 19.4297)
