id,neighbourhood_cleansed,latitude,longitude
324798.00,Waimea-Kekaha,21.96,-159.67
325502.00,Lahaina,20.88,-156.67
55990.00,Puna,19.43,-155.23
330691.00,South Kona,19.48,-155.90
333624.00,North Kona,19.72,-155.99
578348.00,Puna,19.50,-154.91
56024.00,North Shore Kauai,22.20,-159.50
578790.00,Kihei-Makena,20.72,-156.44
57640.00,Puna,19.43,-155.23
342139.00,South Hilo,19.72,-155.10
57642.00,Puna,19.43,-155.23
342153.00,South Hilo,19.72,-155.10
342158.00,South Hilo,19.72,-155.10
582964.00,Wailuku-Kahului,20.89,-156.50
59674.00,Koloa-Poipu,21.88,-159.47
583044.00,South Kohala,20.02,-155.74
342159.00,South Hilo,19.72,-155.10
66800.00,Koloa-Poipu,21.88,-159.47
583095.00,Ewa,21.34,-158.12
583302.00,North Shore Oahu,21.67,-158.04
583315.00,North Shore Oahu,21.67,-158.04
804433.00,North Shore Kauai,22.23,-159.49
808786.00,Koolaupoko,21.40,-157.73
810826.00,North Shore Oahu,21.68,-158.03
66919.00,North Shore Oahu,21.64,-158.06
823773.00,North Kona,19.61,-155.98
585499.00,Kihei-Makena,20.72,-156.44
587542.00,Wailuku-Kahului,20.89,-156.50
67431.00,Puna,19.39,-154.93
591051.00,North Kona,19.57,-155.97
591106.00,North Shore Kauai,22.22,-159.48
591538.00,Wailuku-Kahului,20.89,-156.50
596595.00,Primary Urban Center,21.28,-157.81
598062.00,Lahaina,20.96,-156.68
828703.00,North Kona,19.60,-155.95
836884.00,North Shore Kauai,22.22,-159.48
68045.00,Koolauloa,21.70,-157.99
841416.00,Koolauloa,21.65,-157.92
846717.00,South Kona,19.47,-155.91
600944.00,Kihei-Makena,20.77,-156.46
855921.00,Kapaa-Wailua,22.05,-159.33
69794.00,North Kona,19.73,-155.99
860378.00,Hana,20.76,-156.00
606715.00,South Hilo,19.72,-155.09
71385.00,North Shore Kauai,22.22,-159.48
861768.00,Kihei-Makena,20.72,-156.45
74862.00,Kihei-Makena,20.73,-156.45
861878.00,Koolauloa,21.65,-157.92
609723.00,Koolaupoko,21.38,-157.73
76320.00,North Shore Oahu,21.68,-158.03
622562.00,Lahaina,20.97,-156.68
863978.00,Puna,19.40,-154.93
79790.00,Puna,19.41,-154.92
864241.00,North Kona,19.59,-155.96
866802.00,Kihei-Makena,20.76,-156.46
626156.00,Koolaupoko,21.40,-157.73
629945.00,South Kona,19.47,-155.90
