id,date
40093760,2015-07-28
40592719,2015-08-01
487636209,2019-07-14
494382857,2019-07-24
42521115,2015-08-14
43363114,2015-08-19
44778969,2015-08-29
45471019,2015-09-03
46271841,2015-09-09
481566633,2019-07-05
495470250,2019-07-26
504112067,2019-08-07
508093900,2019-08-12
484122355,2019-07-08
488605096,2019-07-15
490300342,2019-07-18
499945058,2019-08-01
47034916,2015-09-15
47787844,2015-09-21
50015653,2015-10-08
50743130,2015-10-14
51424227,2015-10-20
52272221,2015-10-27
52624992,2015-10-31
53003322,2015-11-03
53269669,2015-11-07
56753232,2015-12-17
58974794,2016-01-05
64167830,2016-02-29
64903744,2016-03-08
65575155,2016-03-15
510505836,2019-08-16
515528802,2019-08-23
518110483,2019-08-26
524099080,2019-09-05
527130966,2019-09-10
530794995,2019-09-16
532684554,2019-09-20
533772388,2019-09-22
543772986,2019-10-08
67608472,2016-03-30
68439590,2016-04-05
69227927,2016-04-10
522431113,2019-09-02
527932521,2019-09-12
533158086,2019-09-21
540331328,2019-10-03
542347939,2019-10-06
545378422,2019-10-12
547508672,2019-10-15
553873633,2019-10-25
559610210,2019-11-04
565087317,2019-11-17
567359436,2019-11-22
571517150,2019-12-01
577330697,2019-12-15
581224325,2019-12-24
594869503,2020-01-19
611807921,2020-02-28
663542619,2020-09-13
754594039,2021-05-03
758656033,2021-05-16
762088166,2021-05-24
388907855022994456,2021-06-20
393971100606709315,2021-06-27
409201034529372704,2021-07-18
413482350043782022,2021-07-24
453381984996025923,2021-09-17
466481820450337305,2021-10-05
472955996480447409,2021-10-14
475165776644535645,2021-10-17
477267486341912578,2021-10-20
481663011785144186,2021-10-26
483081222452102313,2021-10-28
485974119171826347,2021-11-01
488961640843446006,2021-11-05
491127545502505608,2021-11-08
498362062930223848,2021-11-18
505622367968934484,2021-11-28
508508204969470177,2021-12-02
510641164393143830,2021-12-05
536076389514306491,2022-01-09
551312056328477791,2022-01-30
556267349852471820,2022-02-06
561393004549182160,2022-02-13
566455696167185479,2022-02-20
568651271989276370,2022-02-23
572324436790347645,2022-02-28
575193493314631354,2022-03-04
576672530193356646,2022-03-06
578061042012851317,2022-03-08
580971660038298771,2022-03-12
585337586700224073,2022-03-18
586809205561719070,2022-03-20
589671271732664104,2022-03-24
594683673343637586,2022-03-31
605614295186521410,2022-04-15
610618123897019888,2022-04-22
612884915400128751,2022-04-25
615706494694970035,2022-04-29
624414532125282107,2022-05-11
625913817119543134,2022-05-13
627375966082822374,2022-05-15
629534364277101058,2022-05-18
635330959929372986,2022-05-26
549924240,2019-10-18
552314068,2019-10-21
556355371,2019-10-29
561338867,2019-11-09
566692468,2019-11-20
523855,2011-09-12
71074323,2016-04-23
71726710,2016-04-28
73957585,2016-05-11
75563796,2016-05-22
76210398,2016-05-25
77898618,2016-06-04
78717597,2016-06-08
79393003,2016-06-12
80013047,2016-06-15
83376086,2016-07-02
83753067,2016-07-04
88604811,2016-07-25
89679184,2016-07-29
93329396,2016-08-12
94345094,2016-08-15
567714158,2019-11-23
572202701,2019-12-02
579678273,2019-12-21
584625838,2019-12-30
586878670,2020-01-02
588269728,2020-01-04
603539986,2020-02-09
607027388,2020-02-17
609762262,2020-02-23
617254382,2020-03-12
628471273,2020-06-08
98771062,2016-09-01
100206473,2016-09-08
629511223,2020-06-14
630706234,2020-06-20
631776960,2020-06-24
633996102,2020-07-02
637124689,2020-07-12
640994232,2020-07-22
101164053,2016-09-12
102834828,2016-09-19
103691538,2016-09-23
104385471,2016-09-26
106801753,2016-10-08
107626819,2016-10-11
108003325,2016-10-13
551278,2011-09-20
559376,2011-09-23
643161379,2020-07-27
646165084,2020-08-03
647283789,2020-08-06
648043894,2020-08-08
649334536,2020-08-10
650929680,2020-08-14
653419986,2020-08-19
670434355,2020-10-03
728335501,2021-02-01
734455177,2021-02-26
735651291,2021-03-01
738897199,2021-03-14
745917284,2021-04-05
750722665,2021-04-21
389630721536257745,2021-06-21
392439520272474212,2021-06-25
394667814668404066,2021-06-28
399029981790722227,2021-07-04
404758459218408496,2021-07-12
618311,2011-10-11
633302,2011-10-16
637475,2011-10-17
644965,2011-10-19
108751543,2016-10-17
111903584,2016-11-02
112698523,2016-11-07
113850246,2016-11-14
115891219,2016-11-27
116967809,2016-12-04
125122782,2017-01-04
133044765,2017-02-20
133899987,2017-02-25
134619590,2017-02-28
135250541,2017-03-04
137042853,2017-03-13
140174246,2017-03-28
142774264,2017-04-09
146461106,2017-04-23
149245078,2017-05-03
152548893,2017-05-17
412106479117568141,2021-07-22
153178657,2017-05-20
154152601,2017-05-23
158529822,2017-06-07
162082426,2017-06-19
164430072,2017-06-27
165201240,2017-06-30
174223009,2017-07-25
175990635,2017-07-30
180017980,2017-08-09
189551597,2017-09-02
193140695,2017-09-12
196217732,2017-09-22
197374091,2017-09-25
199899348,2017-10-03
200953109,2017-10-07
202402676,2017-10-11
653728,2011-10-22
657925,2011-10-24
679882,2011-11-01
715708,2011-11-14
753356,2011-11-29
764617,2011-12-05
770374,2011-12-07
779064,2011-12-12
791456,2011-12-18
797972,2011-12-21
414250239811516189,2021-07-25
419284125263642787,2021-08-01
430130937737198109,2021-08-16
434556960695101913,2021-08-22
438201405097964103,2021-08-27
465704121336520686,2021-10-04
490400726209516849,2021-11-07
492543058946328184,2021-11-10
495405539895110993,2021-11-14
500512342587958281,2021-11-21
509886664776922215,2021-12-04
520092599281833903,2021-12-18
533879833439018182,2022-01-06
567165988241695758,2022-02-21
591094475392293155,2022-03-26
837118,2012-01-04
850157,2012-01-08
203945322,2017-10-16
207127426,2017-10-28
231218944,2018-01-31
242565939,2018-03-12
246324313,2018-03-25
250821352,2018-04-06
251262997,2018-04-07
256699469,2018-04-23
599723705087288293,2022-04-07
604095297781081946,2022-04-13
607725873878171478,2022-04-18
617901320990966674,2022-05-02
620775219063264174,2022-05-06
636039950157892040,2022-05-27
640337833886161436,2022-06-02
257476898,2018-04-26
260490702,2018-05-04
268543546,2018-05-25
269827240,2018-05-28
272089484,2018-06-03
280889700,2018-06-24
282839010,2018-06-28
284153720,2018-07-01
294024437,2018-07-21
306887941,2018-08-13
314002828,2018-08-26
318648014,2018-09-04
